0.3	-0.08753910.3	0.07354870.3	0.01745520.3	-0.01832290.3	0.2226770.3	-0.2710590.3	-0.231940.3	0.2448170.3	0.2106260.3	-0.2473830.3	0.1947430.3	-0.1831320.3	-0.2353670.3	0.2449150.3	-0.05994770.3	0.06887770.3	-0.04723530.3	-0.0821030.3	-0.2375060.3	0.230660.3	0.1329360.3	-0.1299630.3	-0.1057130.3	0.1094270.3	0.1832090.3	-0.02178780.3	0.1541460.3	-0.1459070.3	-0.2051750.3	-0.1780920.3	0.2086140.3	-0.2159230.3	0.1274640.3	-0.1147350.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	00.3	0
0.33	0.04212510.33	0.04502470.33	0.2429640.33	0.2406860.33	0.1928530.33	0.2569090.33	-0.151370.33	-0.1483090.33	0.253650.33	0.1937050.33	-0.09855870.33	-0.1084430.33	-0.179010.33	-0.1844040.33	-0.2327010.33	-0.2342560.33	0.01329570.33	0.09777520.33	-0.1500620.33	-0.1401190.33	0.2189380.33	0.2136090.33	-0.236640.33	-0.2240810.33	0.2016550.33	-0.04407440.33	-0.08404050.33	-0.1025860.33	-0.1654140.33	0.2363760.33	0.1170180.33	0.1189790.33	-0.06400260.33	-0.07542510.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	00.33	0
0.36	0.1624960.36	-0.1533370.36	0.04657160.36	-0.04757110.36	0.1588790.36	-0.2347930.36	0.06065760.36	-0.07645350.36	0.2669450.36	-0.1050750.36	-0.2356960.36	0.2289060.36	-0.03781140.36	0.03012480.36	-0.1199540.36	0.1161660.36	0.08208240.36	-0.1193610.36	0.1358440.36	-0.1394660.36	0.2169760.36	-0.2179930.36	-0.1862010.36	0.1718240.36	0.2174850.36	0.1057250.36	-0.233070.36	0.2408920.36	-0.0877540.36	-0.2605280.36	-0.1979770.36	0.1988660.36	-0.2144130.36	0.2155970.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	00.36	0
0.39	0.2296120.39	0.2177380.39	-0.2287220.39	-0.2291670.39	0.1201660.39	0.2048270.39	0.2280090.39	0.2376550.39	0.2461640.39	-0.001014210.39	-0.004742660.39	0.00594220.39	0.1268750.39	0.1316440.39	0.1424020.39	0.1423910.39	0.147360.39	0.1399580.39	0.2310810.39	0.2284670.39	0.1282280.39	0.1355190.39	0.007101220.39	0.009698310.39	0.227070.39	-0.1604860.39	-0.137480.39	-0.1242190.39	0.004556910.39	0.2513150.39	-0.136780.39	-0.1392470.39	-0.2265740.39	-0.2223170.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	00.39	0
0.42	0.2322450.42	-0.2222130.42	-0.1059170.42	0.1074550.42	0.07736580.42	-0.1714410.42	0.189480.42	-0.1834340.42	0.1982930.42	0.1100870.42	0.2333130.42	-0.2308450.42	0.2242680.42	-0.2299880.42	0.2302730.42	-0.2292150.42	0.1983190.42	-0.1554260.42	0.008527460.42	-0.003253270.42	-0.006746210.42	-0.0004421620.42	0.1943220.42	-0.1863550.42	0.2292450.42	0.2102040.42	0.104910.42	-0.1230440.42	0.104880.42	-0.2072270.42	0.1884840.42	-0.1857140.42	-0.09890770.42	0.09131740.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	00.42	0
0.45	0.1660360.45	0.1576550.45	0.2034580.45	0.1991920.45	0.03645910.45	0.1349140.45	-0.01882870.45	-0.03224040.45	0.1271420.45	-0.1969790.45	0.1059420.45	0.09975860.45	0.2100670.45	0.2038330.45	0.04049090.45	0.03742420.45	0.2274420.45	0.1715310.45	-0.225930.45	-0.2280880.45	-0.1405490.45	-0.1324610.45	0.2340250.45	0.2272220.45	0.233230.45	-0.2440570.45	0.2359160.45	0.2455880.45	0.192580.45	0.1415450.45	0.1555420.45	0.1613740.45	0.08408280.45	0.09190690.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	00.45	0
0.48	0.05401580.48	-0.04822160.48	0.163020.48	-0.1579610.48	-0.005360990.48	-0.09472250.48	-0.2074130.48	0.2217330.48	0.0421920.48	0.2413650.48	-0.1875430.48	0.1851580.48	0.08140170.48	-0.07603240.48	-0.2010040.48	0.2012140.48	0.2347140.48	-0.189120.48	-0.1482060.48	0.1426720.48	-0.2291330.48	0.2224290.48	0.09831580.48	-0.09607180.48	0.2410830.48	0.2597370.48	0.1195780.48	-0.115780.48	0.240120.48	-0.06298570.48	-0.1664020.48	0.1708850.48	0.2160080.48	-0.2161940.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	00.48	0
0.51	-0.07518290.51	-0.07804310.51	-0.1599460.51	-0.1613420.51	-0.03920260.51	0.05979710.51	-0.2087660.51	-0.2088330.51	-0.04815310.51	-0.2368290.51	-0.1891180.51	-0.1842420.51	-0.08308530.51	-0.09143320.51	-0.1986310.51	-0.1988210.51	0.2313970.51	0.2111530.51	0.1328490.51	0.1395520.51	-0.232320.51	-0.2291790.51	-0.1116360.51	-0.1110240.51	0.2492010.51	-0.2538640.51	-0.1212940.51	-0.134550.51	0.2292680.51	-0.02459270.51	-0.1636440.51	-0.1699090.51	0.2101520.51	0.2075730.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	00.51	0
0.54	-0.190570.54	0.1895170.54	-0.1977870.54	0.2005770.54	-0.07967330.54	-0.02585270.54	-0.02228210.54	0.01200860.54	-0.1251370.54	0.1836630.54	0.1025150.54	-0.1072120.54	-0.2073940.54	0.2123330.54	0.04261310.54	-0.04640020.54	0.207060.54	-0.2335980.54	0.2261760.54	-0.2245770.54	-0.140280.54	0.1456950.54	-0.2335060.54	0.2353310.54	0.2540420.54	0.2264890.54	-0.2377040.54	0.2379490.54	0.1701730.54	0.1063320.54	0.1580410.54	-0.1500990.54	0.07488940.54	-0.07151820.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	00.54	0
0.57	-0.2518880.57	-0.2440150.57	0.1036360.57	0.1060710.57	-0.1170440.57	-0.005973720.57	0.1901390.57	0.1911650.57	-0.1810080.57	-0.1029030.57	0.2352540.57	0.2389680.57	-0.2255320.57	-0.2288690.57	0.2322030.57	0.2318870.57	0.1585240.57	0.2609820.57	0.00291620.57	-0.001480870.57	0.002845720.57	0.001554410.57	-0.1796850.57	-0.188130.57	0.2527750.57	-0.1814780.57	-0.09585340.57	-0.08530910.57	0.07490470.57	-0.1772890.57	0.1802610.57	0.1851580.57	-0.107830.57	-0.1102840.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	00.57	0
