0.6	-0.04535880.6	0.1687090.6	0.1865210.6	-0.189810.6	0.2272740.6	-0.2625340.6	-0.1828380.6	0.2124550.6	0.170150.6	-0.08895130.6	0.1979350.6	-0.2042980.6	-0.06293550.6	0.05797210.6	-0.006479220.6	0.02204970.6	-0.1688910.6	0.1147890.6	0.01383550.6	-0.02932280.6	-0.005239850.6	-0.2081580.6	-0.08814730.6	0.07410890.6	-0.1267810.6	-0.1931810.6	0.07199310.6	-0.1585780.6	0.001054950.6	-0.002199290.6	0.1250390.6	-0.1262920.6	-0.1917110.6	-0.1159520.6	-0.1477180.6	0.1440260.6	0.1532810.6	-0.1934130.6	0.1742680.6	-0.1424980.6	0.1675760.6	-0.08054910.6	-0.1702690.6	-0.06142750.6	-0.194090.6	0.04905460.6	-0.09613410.6	0.09793820.6	0.1307830.6	-0.107301
0.66	0.06859510.66	-0.2057750.66	0.07374690.66	0.08194940.66	0.2375250.66	0.2688750.66	-0.1429650.66	-0.1404120.66	0.07734140.66	0.1981130.66	0.02719790.66	0.04313240.66	-0.01411990.66	0.03694910.66	-0.1479060.66	-0.1578620.66	-0.2185950.66	-0.05253850.66	-0.1902620.66	-0.1889290.66	-0.05234710.66	0.1743870.66	0.1230570.66	0.138890.66	-0.1973840.66	0.1071180.66	0.195280.66	0.1476550.66	0.001031720.66	0.008863570.66	0.1969910.66	0.1823540.66	-0.1981630.66	0.04221910.66	0.1114310.66	0.09599030.66	0.08150820.66	0.1960440.66	0.01721660.66	-0.01363120.66	0.1377930.66	0.06497120.66	-0.1621560.66	0.2017620.66	-0.1780380.66	-0.1057460.66	-0.1751020.66	-0.170.66	-0.02606730.66	-0.0404303
0.72	0.1548310.72	0.2192440.72	-0.1827930.72	0.1822440.72	0.245470.72	-0.2653330.72	0.02691470.72	-0.04874160.72	-0.06293820.72	-0.2323780.72	-0.1836140.72	0.1784490.72	0.0382070.72	-0.1205520.72	-0.1896330.72	0.186920.72	-0.2384320.72	-0.009930010.72	-0.06948620.72	0.09150340.72	-0.09216330.72	-0.1084570.72	0.1964050.72	-0.2018910.72	-0.1881060.72	0.0410360.72	0.08342140.72	0.05740340.72	-0.00150550.72	-0.01996710.72	0.1139860.72	-0.09023650.72	-0.1223350.72	0.04373380.72	0.1962840.72	-0.1899740.72	-0.007918220.72	-0.1052810.72	-0.154780.72	0.1573320.72	0.1149940.72	-0.04142740.72	0.06053010.72	-0.08875590.72	-0.1306790.72	0.148560.72	0.06309080.72	-0.06707070.72	-0.1685090.72	0.157189
0.78	0.1979640.78	-0.1997990.78	-0.08297670.78	-0.09531510.78	0.2473430.78	0.2616680.78	0.1724910.78	0.1925690.78	-0.1722150.78	0.180930.78	-0.1296450.78	-0.1432680.78	0.0926430.78	0.1723260.78	-0.09526620.78	-0.07906230.78	-0.2192530.78	0.06450060.78	0.1644210.78	0.1667150.78	-0.1223830.78	0.02395070.78	0.04825590.78	0.04632690.78	-0.1173780.78	-0.1647010.78	-0.1261190.78	-0.185850.78	-0.004903090.78	0.02868770.78	-0.06345430.78	-0.06525320.78	0.0100440.78	-0.1161650.78	-0.03145090.78	-0.02063020.78	-0.08885280.78	-0.03007730.78	-0.1815880.78	-0.1490010.78	0.08942830.78	0.02025080.78	0.2038450.78	-0.1305890.78	-0.05903570.78	-0.1794960.78	0.1892260.78	0.1944890.78	-0.201310.78	-0.177971
0.84	0.1856170.84	0.1593670.84	0.1743630.84	-0.1733760.84	0.2518760.84	-0.2524450.84	0.1644620.84	-0.1660780.84	-0.1993840.84	-0.0609890.84	0.1113290.84	-0.1006990.84	0.140120.84	-0.1737690.84	0.06711780.84	-0.08684090.84	-0.1752210.84	-0.1070630.84	0.1207070.84	-0.1473390.84	-0.1435920.84	0.06437050.84	-0.1565030.84	0.1634590.84	-0.002626940.84	0.1950960.84	-0.1858270.84	0.06740040.84	-0.003848440.84	-0.0345810.84	-0.1833820.84	0.1654840.84	0.1395290.84	0.1607310.84	-0.2086790.84	0.1991260.84	-0.1418710.84	0.1438830.84	-0.02639010.84	-0.008538380.84	0.06518180.84	0.008292370.84	0.07328710.84	0.1942750.84	0.02465920.84	0.1916580.84	-0.0288420.84	0.02973880.84	-0.1155510.84	0.0792242
0.9	0.1202380.9	-0.1024590.9	0.09707810.9	0.1039750.9	0.2528320.9	0.2367120.9	0.005862730.9	-0.01498060.9	-0.124640.9	-0.07842450.9	0.1924470.9	0.1990720.9	0.1742910.9	0.1201840.9	0.1816720.9	0.1935810.9	-0.1130260.9	0.1380710.9	-0.1215260.9	-0.1186430.9	-0.1500740.9	-0.142930.9	-0.1910170.9	-0.1910080.9	0.117360.9	-0.1256940.9	-0.01741910.9	0.1451930.9	0.00245850.9	0.0426950.9	-0.1658160.9	-0.1446360.9	0.2025690.9	-0.1679990.9	-0.05341420.9	-0.06058640.9	-0.1610170.9	-0.1888070.9	0.1526550.9	0.1669480.9	0.03976490.9	-0.04044050.9	-0.1515120.9	-0.02129460.9	0.106530.9	-0.1863360.9	-0.1944510.9	-0.1937940.9	0.03700360.9	0.0719305
0.96	0.01396570.96	0.03190730.96	-0.1680330.96	0.1669360.96	0.2505290.96	-0.2180360.96	-0.1613090.96	0.1880950.96	0.01471890.96	0.1894520.96	-0.003203670.96	-0.008228740.96	0.1914290.96	-0.02735940.96	0.1706340.96	-0.1694360.96	-0.03635030.96	-0.1617390.96	-0.155940.96	0.1826940.96	-0.1468150.96	0.2038840.96	-0.01929440.96	0.00993140.96	0.1972380.96	-0.008807940.96	0.167740.96	-0.1667460.96	0.007516350.96	-0.04916470.96	-0.0131480.96	0.007019540.96	0.1766160.96	0.1364970.96	0.1823540.96	-0.1775890.96	-0.1394650.96	0.1513410.96	0.1749750.96	-0.1618130.96	0.006526550.96	0.07498570.96	-0.1703940.96	-0.1732490.96	0.1703420.96	0.1616080.96	-0.00530740.96	0.01382780.96	0.1604170.96	-0.183348
1.02	-0.0894221.02	0.03882711.02	-0.1116641.02	-0.1156411.02	0.2441511.02	0.204661.02	-0.1822141.02	-0.1938011.02	0.143191.02	-0.2289781.02	-0.1904231.02	-0.19311.02	0.20361.02	-0.07515691.02	0.03308761.02	0.02873661.02	0.04806691.02	0.1837361.02	0.07349211.02	0.06283791.02	-0.1246491.02	-0.227571.02	0.1717691.02	0.1823581.02	0.2082491.02	0.138221.02	0.1462331.02	-0.02818591.02	0.01575911.02	0.05281671.02	0.1541041.02	0.136751.02	0.06979071.02	-0.06961441.02	0.1359321.02	0.1326331.02	-0.07682871.02	-0.04700011.02	0.02258921.02	0.00148921.02	-0.03409891.02	-0.1077421.02	0.03533471.02	0.156081.02	0.202261.02	-0.1173111.02	0.1947231.02	0.1930651.02	0.1879291.02	0.182433
1.08	-0.1640771.08	-0.09750261.08	0.1662041.08	-0.160551.08	0.230081.08	-0.1915531.08	-0.03622781.08	0.02804881.08	0.1985961.08	0.1859331.08	-0.1076241.08	0.1170551.08	0.2034691.08	0.1617851.08	-0.1283011.08	0.127011.08	0.1230611.08	-0.2002291.08	0.1794591.08	-0.2010061.08	-0.08066821.08	0.2159431.08	0.1685411.08	-0.1738991.08	0.15171.08	-0.1875451.08	-0.04848191.08	0.1854251.08	0.02483221.08	-0.06060931.08	0.1988061.08	-0.1742711.08	-0.07457271.08	-0.0182921.08	-0.1219991.08	0.115081.08	0.001894621.08	-0.07718151.08	-0.1521141.08	0.1651371.08	-0.06378041.08	0.1316651.08	0.1920211.08	0.05010781.08	0.1941231.08	0.06111591.08	0.03765531.08	-0.04438611.08	0.09550541.08	-0.0716895
1.14	-0.1923351.14	0.133931.14	0.1214731.14	0.1306731.14	0.2106551.14	0.1791121.14	0.1481391.14	0.1569991.14	0.1539811.14	-0.0715371.14	0.13681.14	0.1318391.14	0.1937231.14	-0.2029141.14	-0.203171.14	-0.1871761.14	0.1793321.14	0.201871.14	-0.01657921.14	-0.004791631.14	-0.0274121.14	-0.1619961.14	-0.01771121.14	-0.02357171.14	0.04383291.14	0.1435651.14	-0.1862421.14	-0.09356671.14	0.03972351.14	0.07240171.14	0.07556851.14	0.0720971.14	-0.178621.14	0.1046311.14	-0.1857551.14	-0.181511.14	0.07895011.14	0.1637371.14	-0.1720421.14	-0.1701681.14	-0.09561991.14	-0.1608391.14	0.09352071.14	-0.1936831.14	0.1532151.14	0.006179571.14	-0.1848011.14	-0.183391.14	-0.05925451.14	-0.0865688
