-0.6	0.185929-0.6	-0.170118-0.6	0.0856008-0.6	-0.156685-0.6	0.0036206-0.6	0.0772276-0.6	-0.189822-0.6	-0.0892596-0.6	0.356392-0.6	0.204231-0.6	0.147836-0.6	0.0914717-0.6	-0.18473-0.6	-0.182669-0.6	0.187347-0.6	0.198128-0.6	-0.167653-0.6	0.18287-0.6	0.0988703-0.6	0.0567722-0.6	0.0242273-0.6	0.114508-0.6	0.156436-0.6	0.182713-0.6	0.0256406-0.6	0.0267034-0.6	-0.123134-0.6	0.0611273-0.6	0.126352-0.6	0.182034-0.6	-0.0887061-0.6	-0.0960853-0.6	0.250661-0.6	-0.191561-0.6	0.0637276-0.6	0.0336774-0.6	-0.156582-0.6	-0.107281-0.6	-0.188357-0.6	-0.172769-0.6	0.0911379-0.6	-0.0376609-0.6	-0.179768-0.6	0.00429536-0.6	-0.0480079-0.6	-0.116819-0.6	0.037289-0.6	-0.00849247-0.6	0.0207465-0.6	0.123634
-0.56	-0.113825-0.56	-0.177884-0.56	-0.0499796-0.56	-0.0817329-0.56	0.102025-0.56	-0.167043-0.56	0.173718-0.56	-0.185213-0.56	-0.322149-0.56	0.0655049-0.56	-0.157938-0.56	0.00688927-0.56	0.0891049-0.56	0.0500793-0.56	-0.0530147-0.56	0.218315-0.56	0.207876-0.56	0.0581836-0.56	0.136019-0.56	0.0721312-0.56	-0.146131-0.56	0.194428-0.56	0.110048-0.56	0.196081-0.56	-0.178217-0.56	0.0290628-0.56	0.0859072-0.56	-0.103339-0.56	0.155766-0.56	0.0140585-0.56	0.084198-0.56	-0.0275688-0.56	0.198464-0.56	0.0314352-0.56	0.192435-0.56	-0.0516092-0.56	-0.186096-0.56	-0.0792233-0.56	-0.0866236-0.56	0.155675-0.56	-0.0453122-0.56	0.197329-0.56	-0.181135-0.56	-0.00901812-0.56	-0.192936-0.56	0.195714-0.56	0.13092-0.56	0.0034215-0.56	-0.171681-0.56	-0.194166
-0.52	-0.0951295-0.52	-0.00174132-0.52	0.0311132-0.52	0.0248315-0.52	-0.194444-0.52	-0.107652-0.52	-0.04065-0.52	-0.181645-0.52	0.274137-0.52	-0.146919-0.52	-0.0950448-0.52	-0.0767415-0.52	0.0397422-0.52	0.199291-0.52	-0.124875-0.52	0.219527-0.52	-0.202617-0.52	-0.111823-0.52	-0.177781-0.52	0.0960931-0.52	0.196087-0.52	-0.0140749-0.52	-0.17338-0.52	0.144145-0.52	0.159023-0.52	0.0366721-0.52	0.195075-0.52	0.126613-0.52	0.182532-0.52	-0.191631-0.52	0.188474-0.52	0.136002-0.52	0.118422-0.52	0.184759-0.52	0.147702-0.52	0.0601979-0.52	-0.207813-0.52	0.200202-0.52	0.156789-0.52	-0.0905403-0.52	-0.153957-0.52	-0.0507825-0.52	-0.0638739-0.52	0.00294283-0.52	0.0340973-0.52	-0.158583-0.52	0.186113-0.52	0.00224099-0.52	-0.127636-0.52	0.0514971
-0.48	0.195684-0.48	0.177089-0.48	-0.0194192-0.48	0.12291-0.48	0.263502-0.48	0.151514-0.48	-0.118796-0.48	-0.077529-0.48	-0.223599-0.48	-0.195927-0.48	0.182457-0.48	-0.14659-0.48	-0.146278-0.48	-0.00354188-0.48	0.203439-0.48	0.1894-0.48	0.157424-0.48	-0.195317-0.48	-0.0382933-0.48	0.121983-0.48	-0.151946-0.48	-0.197534-0.48	-0.0890735-0.48	0.0426914-0.48	0.0130454-0.48	0.0457266-0.48	0.0480254-0.48	-0.132863-0.48	0.211837-0.48	0.118503-0.48	0.133196-0.48	-0.188455-0.48	0.0248458-0.48	-0.0747291-0.48	-0.0348525-0.48	-0.0570136-0.48	-0.215209-0.48	-0.15035-0.48	0.148297-0.48	0.000916822-0.48	-0.183561-0.48	-0.167624-0.48	0.0918902-0.48	0.000731097-0.48	0.1933-0.48	0.0380614-0.48	0.182493-0.48	-0.00303367-0.48	0.0950411-0.48	0.148346
-0.44	-0.0623491-0.44	0.166798-0.44	0.012006-0.44	0.165731-0.44	-0.305425-0.44	0.126941-0.44	0.194813-0.44	0.0706788-0.44	0.176465-0.44	-0.014582-0.44	0.0288946-0.44	-0.183507-0.44	0.212226-0.44	-0.201778-0.44	-0.130998-0.44	0.131061-0.44	-0.080298-0.44	-0.129371-0.44	0.204823-0.44	0.150716-0.44	0.0320681-0.44	-0.0820549-0.44	0.185617-0.44	-0.0768042-0.44	-0.177543-0.44	0.0564091-0.44	-0.163649-0.44	0.117168-0.44	0.239172-0.44	0.1007-0.44	-0.0452303-0.44	0.165952-0.44	-0.0788076-0.44	-0.16628-0.44	-0.182155-0.44	0.042554-0.44	-0.201914-0.44	-0.029695-0.44	-0.103571-0.44	0.0827351-0.44	-0.12187-0.44	0.135316-0.44	0.186007-0.44	0.000237702-0.44	-0.0357644-0.44	0.0962163-0.44	0.126812-0.44	0.00268172-0.44	0.183468-0.44	-0.195321
-0.4	-0.145304-0.4	-0.0176544-0.4	-0.00145636-0.4	0.133393-0.4	0.325164-0.4	-0.133704-0.4	-0.1498-0.4	0.181155-0.4	-0.134372-0.4	0.18447-0.4	-0.193792-0.4	-0.17061-0.4	-0.215882-0.4	-0.039-0.4	-0.0414239-0.4	0.0564663-0.4	-0.00388599-0.4	0.0297118-0.4	-0.0873684-0.4	0.181649-0.4	0.108847-0.4	0.158006-0.4	0.0660344-0.4	-0.17356-0.4	0.178949-0.4	0.0725845-0.4	-0.164257-0.4	-0.0797917-0.4	0.254309-0.4	-0.192862-0.4	-0.178449-0.4	-0.0803083-0.4	-0.166883-0.4	0.121481-0.4	-0.149566-0.4	-0.0207407-0.4	-0.165112-0.4	0.184867-0.4	-0.18245-0.4	-0.147197-0.4	0.00524663-0.4	0.0929595-0.4	0.153582-0.4	0.00376178-0.4	-0.191621-0.4	-0.182199-0.4	0.0312138-0.4	0.00158759-0.4	0.0105496-0.4	0.037889
-0.36	0.186375-0.36	-0.176897-0.36	-0.0023069-0.36	0.0359636-0.36	-0.321708-0.36	-0.136419-0.36	0.00714074-0.36	0.172062-0.36	0.105566-0.36	0.157378-0.36	0.049616-0.36	-0.103863-0.36	0.158693-0.36	0.192449-0.36	0.176411-0.36	-0.0328528-0.36	0.0957245-0.36	0.167898-0.36	-0.142171-0.36	0.210831-0.36	-0.203741-0.36	0.151499-0.36	-0.191191-0.36	-0.202235-0.36	-0.0202948-0.36	0.0906894-0.36	0.0572183-0.36	0.0212029-0.36	0.261249-0.36	0.0458133-0.36	-0.145871-0.36	-0.0405195-0.36	-0.220132-0.36	0.130197-0.36	0.0275335-0.36	-0.00356052-0.36	-0.110192-0.36	-0.187998-0.36	0.0408481-0.36	0.181105-0.36	0.125019-0.36	-0.186057-0.36	0.00990285-0.36	-0.00215798-0.36	0.0463931-0.36	0.166234-0.36	-0.0782131-0.36	0.0010047-0.36	-0.172764-0.36	0.153406
-0.32	-0.0234482-0.32	-0.14625-0.32	0.00177459-0.32	-0.0746135-0.32	0.303883-0.32	0.125818-0.32	0.136038-0.32	0.0509744-0.32	-0.0794446-0.32	-0.0686196-0.32	0.176122-0.32	-0.00640128-0.32	-0.0574677-0.32	0.076293-0.32	-0.190508-0.32	-0.123132-0.32	-0.165779-0.32	0.166511-0.32	0.180037-0.32	0.232478-0.32	0.209335-0.32	-0.0959651-0.32	-0.0309779-0.32	-0.139292-0.32	-0.160061-0.32	0.119562-0.32	0.202199-0.32	0.0404895-0.32	0.239966-0.32	0.157477-0.32	0.0162369-0.32	0.149213-0.32	-0.213676-0.32	-0.160215-0.32	0.180954-0.32	0.0243366-0.32	-0.0354922-0.32	0.0422794-0.32	0.193819-0.32	-0.184503-0.32	0.169608-0.32	-0.000234301-0.32	-0.142307-0.32	0.00297482-0.32	0.186937-0.32	-0.0676501-0.32	-0.152571-0.32	-0.00365121-0.32	-0.104832-0.32	-0.189724
-0.28	-0.168435-0.28	0.0525308-0.28	-0.00243101-0.28	-0.146195-0.28	-0.27212-0.28	0.144789-0.28	-0.205054-0.28	-0.104202-0.28	0.0561646-0.28	-0.201757-0.28	-0.12594-0.28	0.0915816-0.28	-0.0599782-0.28	-0.186869-0.28	0.0780635-0.28	-0.189359-0.28	0.211048-0.28	0.0249185-0.28	0.0229818-0.28	0.24963-0.28	-0.140946-0.28	-0.190478-0.28	0.198256-0.28	-0.0135463-0.28	0.196243-0.28	0.147955-0.28	0.0781669-0.28	-0.0976023-0.28	0.195842-0.28	-0.16967-0.28	0.161947-0.28	-0.201274-0.28	-0.15534-0.28	-0.088712-0.28	0.151928-0.28	-0.0443589-0.28	0.0448114-0.28	0.134557-0.28	0.009763-0.28	0.149547-0.28	0.118933-0.28	0.189021-0.28	-0.189371-0.28	-0.00709705-0.28	-0.0572153-0.28	-0.0725176-0.28	-0.168211-0.28	0.00190755-0.28	0.116777-0.28	0.0394959
-0.24	0.173449-0.24	0.192379-0.24	0.00705675-0.24	-0.143977-0.24	0.236114-0.24	-0.124507-0.24	0.1525-0.24	-0.192192-0.24	-0.0425842-0.24	-0.0794734-0.24	-0.122724-0.24	0.150431-0.24	0.153777-0.24	-0.107299-0.24	0.0825077-0.24	-0.215893-0.24	-0.23002-0.24	-0.138589-0.24	-0.199714-0.24	0.260106-0.24	0.0214853-0.24	0.0164857-0.24	-0.00545931-0.24	0.114016-0.24	-0.0635612-0.24	0.178019-0.24	-0.148752-0.24	0.151331-0.24	0.131611-0.24	-0.0238164-0.24	0.152852-0.24	0.188171-0.24	-0.0605266-0.24	0.197455-0.24	-0.0317922-0.24	0.061317-0.24	0.115328-0.24	-0.206436-0.24	-0.189498-0.24	-0.087764-0.24	-0.00454497-0.24	-0.104694-0.24	-0.0916376-0.24	0.00372688-0.24	-0.18703-0.24	0.175106-0.24	-0.11739-0.24	-0.00124143-0.24	0.167543-0.24	0.146985
